[2025-04-12 01:33:24,749][INFO] iter 760: loss 0.6180
[2025-04-12 01:33:25,149][INFO] iter 770: loss 0.6263
[2025-04-12 01:33:25,748][INFO] iter 780: loss 0.6286
[2025-04-12 01:33:26,153][INFO] iter 790: loss 0.5995
[2025-04-12 01:33:30,783][INFO] step 800: train loss 0.6046, val loss 0.6066
[2025-04-12 01:33:30,784][INFO] saving checkpoint to out/tree_1_1_120_identity_pos_100
[2025-04-12 01:33:30,832][INFO] iter 800: loss 0.6099
[2025-04-12 01:33:31,230][INFO] iter 810: loss 0.5899
[2025-04-12 01:33:31,631][INFO] iter 820: loss 0.6032
[2025-04-12 01:33:32,028][INFO] iter 830: loss 0.5966
[2025-04-12 01:33:32,428][INFO] iter 840: loss 0.6317
[2025-04-12 01:33:32,831][INFO] iter 850: loss 0.6042
[2025-04-12 01:33:33,232][INFO] iter 860: loss 0.6046
[2025-04-12 01:33:33,823][INFO] iter 870: loss 0.6052
[2025-04-12 01:33:34,224][INFO] iter 880: loss 0.5932
[2025-04-12 01:33:34,625][INFO] iter 890: loss 0.5847
[2025-04-12 01:33:39,247][INFO] step 900: train loss 0.6031, val loss 0.6076
[2025-04-12 01:33:39,247][INFO] saving checkpoint to out/tree_1_1_120_identity_pos_100
[2025-04-12 01:33:39,296][INFO] iter 900: loss 0.6000
[2025-04-12 01:33:39,707][INFO] iter 910: loss 0.6109
[2025-04-12 01:33:40,114][INFO] iter 920: loss 0.6060
[2025-04-12 01:33:40,516][INFO] iter 930: loss 0.6054
[2025-04-12 01:33:40,919][INFO] iter 940: loss 0.6076
[2025-04-12 01:33:41,505][INFO] iter 950: loss 0.5964
[2025-04-12 01:33:41,900][INFO] iter 960: loss 0.6073
[2025-04-12 01:33:42,298][INFO] iter 970: loss 0.6043
[2025-04-12 01:33:42,696][INFO] iter 980: loss 0.5875
[2025-04-12 01:33:43,093][INFO] iter 990: loss 0.6010
[2025-04-12 01:33:47,698][INFO] step 1000: train loss 0.6022, val loss 0.5993
[2025-04-12 01:33:47,699][INFO] saving checkpoint to out/tree_1_1_120_identity_pos_100
[2025-04-12 01:33:47,747][INFO] iter 1000: loss 0.5886
